iata_code,name,latitude_deg,longitude_deg,municipality,country_name
KBH,Kahama Airstrip,-3.847,32.6865,Kahama,Tanzania
BHB,Hancock County-Bar Harbor Airport,44.45000076,-68.3615036,Bar Harbor,United States
BHM,Birmingham-Shuttlesworth International Airport,33.562877,-86.750712,Birmingham,United States
BID,Block Island State Airport,41.168446,-71.578631,Block Island,United States
BIE,Beatrice Municipal Airport,40.3013,-96.754097,Beatrice,United States
BIF,Biggs Army Air Field (Fort Bliss),31.84950066,-106.3799973,Fort Bliss/El Paso,United States
BIH,Eastern Sierra Regional Airport,37.3731,-118.363998,Bishop,United States
BIL,Billings Logan International Airport,45.808932,-108.541242,Billings,United States
BIS,Bismarck Municipal Airport,46.772734,-100.746874,Bismarck,United States
BIX,Keesler Air Force Base,30.41040039,-88.92440033,Biloxi,United States
BJC,Rocky Mountain Metropolitan Airport,39.908798,-105.116997,Denver,United States
BJI,Bemidji Regional Airport,47.50939941,-94.93370056,Bemidji,United States
BJJ,Wayne County Airport,40.874801635699995,-81.88829803,Wooster,United States
BKD,Stephens County Airport,32.71900177,-98.89099884,Breckenridge,United States
BKE,Baker City Municipal Airport,44.837299346900004,-117.8089981,Baker City,United States
BFK,Buckley Space Force Base,39.701698,-104.751999,Aurora,United States
BKL,Burke Lakefront Airport,41.51750183105469,-81.6832962,Cleveland,United States
BKT,Allen C Perkinson Blackstone Army Air Field,37.07419968,-77.95749664,Blackstone,United States
BKW,Raleigh County Memorial Airport,37.7873,-81.124199,Beaver,United States
BKX,Brookings Regional Airport,44.304798,-96.816902,Brookings,United States
BLF,Mercer County Airport,37.295799,-81.207703,Bluefield,United States
BLH,Blythe Airport,33.61920166,-114.7170029,Blythe,United States
BLI,Bellingham International Airport,48.79280090332031,-122.538002,Bellingham,United States
BLM,Monmouth Executive Airport,40.18690109,-74.12490082,Belmar/Farmingdale,United States
BLU,Blue Canyon Nyack Airport,39.27500153,-120.7099991,Emigrant Gap,United States
BLV,Scott AFB/Midamerica Airport,38.5452,-89.835197,Belleville,United States
BMC,Brigham City Regional Airport,41.552399,-112.061996,Brigham City,United States
BMG,Monroe County Airport,39.145999908447266,-86.61669922,Bloomington,United States
BMI,Central Illinois Regional Airport at Bloomington-Normal,40.4771,-88.915901,Bloomington/Normal,United States
BML,Berlin Regional Airport,44.57540131,-71.17590332,Berlin,United States
BMT,Beaumont Municipal Airport,30.070635,-94.215746,Beaumont,United States
BNA,Nashville International Airport,36.1245,-86.6782,Nashville,United States
BNG,Banning Municipal Airport,33.922548,-116.850672,Banning,United States
BNL,Barnwell Regional Airport,33.25780106,-81.38829803,Barnwell,United States
BNO,Burns Municipal Airport,43.590463,-118.955154,Burns,United States
BNW,Boone Municipal Airport,42.049599,-93.847603,Boone,United States
BOI,Boise Air Terminal/Gowen Field,43.5644,-116.223,Boise,United States
BOK,Brookings Airport,42.0746,-124.290001,Brookings,United States
BOS,Boston Logan International Airport,42.36197,-71.0079,Boston,United States
BOW,Bartow Executive Airport,27.943399,-81.783401,Bartow,United States
HCA,Big Spring Mc Mahon-Wrinkle Airport,32.212601,-101.522003,Big Spring,United States
BPI,Miley Memorial Field,42.58509827,-110.1110001,Big Piney,United States
WMH,Ozark Regional Airport,36.3689003,-92.47049713,Mountain Home,United States
BPT,Jack Brooks Regional Airport,29.9508,-94.020699,Beaumont/Port Arthur,United States
BQK,Brunswick Golden Isles Airport,31.258801,-81.466499,Brunswick,United States
BRD,Brainerd Lakes Regional Airport,46.402861,-94.129727,Brainerd,United States
BRL,Southeast Iowa Regional Airport,40.783199310302734,-91.12550354,Burlington,United States
BRO,Brownsville South Padre Island International Airport,25.907238,-97.425235,Brownsville,United States
BRY,Samuels Field,37.81430054,-85.49960327,Bardstown,United States
KBT,Kaben Airport,8.90056,170.843994,Kaben,Marshall Islands
BTF,Skypark Airport,40.86940002,-111.927002,Bountiful,United States
BTL,Battle Creek Executive Airport at Kellogg Field,42.307301,-85.251503,Battle Creek,United States
BTM,Bert Mooney Airport,45.95479965209961,-112.4970016,Butte,United States
TTO,Britton Municipal Airport,45.81520081,-97.74310303,Britton,United States
BTP,Pittsburgh/Butler Regional Airport,40.776901,-79.949699,Butler,United States
BTR,Baton Rouge Metropolitan Airport,30.533199,-91.149597,Baton Rouge,United States
BTV,Patrick Leahy Burlington International Airport,44.471901,-73.153297,Burlington,United States
BTY,Beatty Airport,36.86109924,-116.7870026,Beatty,United States
BUB,Cram Field,41.776699066199996,-99.14969635,Burwell,United States
BUF,Buffalo Niagara International Airport,42.940498,-78.732201,Buffalo,United States
BUM,Butler Memorial Airport,38.28979874,-94.34010315,Butler,United States
BUR,Hollywood Burbank Airport,34.202834,-118.35805,Burbank,United States
BFP,Beaver County Airport,40.772499,-80.391403,Beaver Falls,United States
BVO,Bartlesville Municipal Airport,36.762501,-96.0112,Bartlesville,United States
MVW,Skagit Regional Airport,48.470901,-122.420998,Burlington,United States
BVX,Batesville Regional Airport,35.7262,-91.647301,Batesville,United States
BVY,Beverly Regional Airport,42.584202,-70.916496,Beverly / Danvers,United States
BWC,Brawley Municipal Airport,32.99290085,-115.5169983,Brawley,United States
BWD,Brownwood Regional Airport,31.793600082399998,-98.95649719,Brownwood,United States
BWG,Bowling Green Warren County Regional Airport,36.964500427199994,-86.41970062,Bowling Green,United States
BWI,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,Baltimore,United States
WAH,Harry Stern Airport,46.24409866,-96.60739899,Wahpeton,United States
BWM,Bowman Regional Airport,46.165519,-103.30075,Bowman,United States
BXA,George R Carr Memorial Air Field,30.813699722299997,-89.86499786,Bogalusa,United States
BXK,Buckeye Municipal Airport,33.422397,-112.686317,Buckeye,United States
NHZ,Brunswick Executive Airport,43.89220047,-69.93859863,Brunswick,United States
BYG,Johnson County Airport,44.3811,-106.722,Buffalo,United States
BYH,Arkansas International Airport,35.96429825,-89.94400024,Blytheville,United States
BYI,Burley Municipal Airport,42.542598724399994,-113.7720032,Burley,United States
BYS,Bicycle Lake Army Air Field,35.2804985,-116.6299973,Fort Irwin/Barstow,United States
BBC,Bay City Regional Airport,28.973301,-95.863503,Bay City,United States
BZN,Bozeman Yellowstone International Airport,45.778853,-111.153711,Bozeman,United States
XES,Grand Geneva Resort Airport,42.614899,-88.389603,Lake Geneva,United States
PLY,Plymouth Municipal Airport,41.365101,-86.300499,Plymouth,United States
CLG,New Coalinga Municipal Airport,36.163101,-120.293999,Coalinga,United States
CAD,Wexford County Airport,44.275749,-85.421534,Cadillac,United States
CAE,Columbia Metropolitan Airport,33.938172,-81.123022,Columbia,United States
CIG,Craig Moffat Airport,40.49520111,-107.5220032,Craig,United States
CAK,Akron Canton Regional Airport,40.916099548339844,-81.44219971,Akron,United States
CAO,Clayton Municipal Airpark,36.44620132,-103.1669998,Clayton,United States
CAR,Caribou Municipal Airport,46.871498,-68.017899,Caribou,United States
CBE,Greater Cumberland Regional Airport,39.615398,-78.760902,Wiley Ford,United States
CBF,Council Bluffs Municipal Airport,41.25920105,-95.76059723,Council Bluffs,United States
CBK,Shalz Field,39.42750168,-101.0469971,Colby,United States
CBM,Columbus Air Force Base,33.643799,-88.443802,Columbus,United States
CCB,Upland-Cable Airport,34.111599,-117.688004,Upland,United States
CCR,Buchanan Field,37.9897,-122.056999,Concord,United States
CCY,Northeast Iowa Regional Airport,43.07260132,-92.6108017,Charles City,United States
LLX,Caledonia County Airport,44.56909943,-72.01799774,Lyndonville,United States
CDC,Cedar City Regional Airport,37.70100021362305,-113.098999,Cedar City,United States
CDH,Harrell Field,33.622798919699996,-92.76339722,Camden,United States
CDK,George T Lewis Airport,29.134095,-83.050783,Cedar Key,United States
CDN,Woodward Field,34.28359985,-80.56490326,Camden,United States
CDR,Chadron Municipal Airport,42.837601,-103.095001,Chadron,United States
CDS,Childress Municipal Airport,34.43379974,-100.288002,Childress,United States
CDW,Essex County Airport,40.875198364300005,-74.28140259,Caldwell,United States
CEA,Cessna Aircraft Field,37.64860153,-97.25060272,Wichita,United States
CEC,Jack Mc Namara Field Airport,41.778929,-124.236403,Crescent City,United States
CEF,Westover Metropolitan Airport / Westover Air Reserve Base,42.194,-72.534798,Chicopee,United States
CEU,Oconee County Regional Airport,34.6719017,-82.8864975,Clemson,United States
CEV,Mettel Field,39.69850159,-85.12969971,Connersville,United States
CEW,Bob Sikes Airport,30.77879906,-86.52210236,Crestview,United States
CEY,Murray-Calloway County Airport Kyle-Oakley Field,36.6646,-88.372803,Murray,United States
CEZ,Cortez Municipal Airport,37.303001,-108.627998,Cortez,United States
CFD,Coulter Field,30.715700149499998,-96.33139801,Bryan,United States
TZC,Tuscola Area Airport,43.458801,-83.445503,Caro,United States
CFT,Greenlee County Airport,32.957039,-109.211397,Clifton,United States
CFV,Coffeyville Municipal Airport,37.09400177,-95.57189941,Coffeyville,United States
CGE,Cambridge Dorchester Airport,38.53929901,-76.03040314,Cambridge,United States
CGF,Cuyahoga County Airport,41.56510162,-81.48639679,Cleveland,United States
CGI,Cape Girardeau Regional Airport,37.2253,-89.570801,Cape Girardeau,United States
CGS,College Park Airport,38.98059845,-76.92230225,College Park,United States
CGZ,Casa Grande Municipal Airport,32.954899,-111.766998,Casa Grande,United States
CHA,Chattanooga Metropolitan Airport (Lovell Field),35.035301,-85.203796,Chattanooga,United States
CHK,Chickasha Municipal Airport,35.09740067,-97.96769714,Chickasha,United States
CHO,Charlottesville Albemarle Airport,38.13859939575195,-78.45290375,Charlottesville,United States
CHS,Charleston International Airport,32.896159,-80.038151,Charleston,United States
CIC,Chico Regional Airport,39.795595,-121.857716,Chico,United States
CID,The Eastern Iowa Airport,41.884701,-91.7108,Cedar Rapids,United States
CIN,Arthur N Neu Airport,42.0461998,-94.78900146,Carroll,United States
CIR,Cairo Regional Airport,37.064499,-89.219597,Cairo,United States
CIU,Chippewa County International Airport,46.242038,-84.462082,Kincheloe,United States
CKA,Kegelman AF Aux Field,36.734348,-98.123531,Cherokee,United States
CKB,North Central West Virginia Airport,39.2966,-80.228104,Bridgeport,United States
GRM,Grand Marais Cook County Airport,47.8382988,-90.38289642,Grand Marais,United States
CKM,Fletcher Field,34.29970169,-90.51229858,Clarksdale,United States
CKN,Crookston Municipal Kirkwood Field,47.84170151,-96.62159729,Crookston,United States
CKV,Clarksville–Montgomery County Regional Airport,36.62189865,-87.41500092,Clarksville,United States
KCL,Chignik Lagoon Airport,56.310776,-158.534818,Chignik Flats,United States
CLE,Cleveland Hopkins International Airport,41.411701,-81.8498,Cleveland,United States
CLI,Clintonville Municipal Airport,44.613800048799995,-88.73130035,Clintonville,United States
CLK,Clinton Regional Airport,35.5383,-98.932701,Clinton,United States
CLL,Easterwood Field,30.5886,-96.3638,College Station,United States
CLM,William R Fairchild International Airport,48.120201,-123.5,Port Angeles,United States
CLR,Cliff Hatfield Memorial Airport,33.131500244099996,-115.5210037,Calipatria,United States
CLS,Chehalis Centralia Airport,46.676998,-122.983002,Chehalis,United States
CLT,Charlotte Douglas International Airport,35.2140007,-80.94309998,Charlotte,United States
CLW,Clearwater Air Park,27.97669983,-82.75869751,Clearwater,United States
CMH,John Glenn Columbus International Airport,39.998001,-82.891899,Columbus,United States
CMI,University of Illinois Willard Airport,40.039819,-88.276249,Savoy,United States
CMX,Houghton County Memorial Airport,47.168399810791016,-88.4890976,Hancock,United States
CMY,Sparta Fort McCoy Airport,43.958009,-90.737886,Sparta,United States
CNH,Claremont Municipal Airport,43.37039948,-72.36869812,Claremont,United States
CNK,Blosser Municipal Airport,39.549301147499996,-97.65229797,Concordia,United States
CNM,Cavern City Air Terminal,32.337501525878906,-104.2630005,Carlsbad,United States
CNO,Chino Airport,33.97470093,-117.637001,Chino,United States
CNU,Chanute Martin Johnson Airport,37.668173,-95.486727,Chanute,United States
CNW,TSTC Waco Airport,31.641129,-97.073335,Waco,United States
CNY,Canyonlands Regional Airport,38.755001,-109.754997,Moab,United States
COD,Yellowstone Regional Airport,44.520199,-109.024002,Cody,United States
COE,Coeur D'Alene Airport - Pappy Boyington Field,47.7743,-116.82,Coeur d'Alene,United States
COF,Patrick Space Force Base,28.2349,-80.6101,Cocoa Beach,United States
COI,Merritt Island Airport,28.341600418099997,-80.6855011,Merritt Island,United States
COM,Coleman Municipal Airport,31.841100692699996,-99.4036026,Coleman,United States
CON,Concord Municipal Airport,43.20270157,-71.50229645,Concord,United States
COS,City of Colorado Springs Municipal Airport,38.805801,-104.700996,Colorado Springs,United States
COT,Cotulla-La Salle County Airport,28.45669937,-99.22029877,Cotulla,United States
COU,Columbia Regional Airport,38.8181,-92.219597,Columbia,United States
CPM,Compton Woodley Airport,33.88999939,-118.2440033,Compton,United States
CPR,Casper-Natrona County International Airport,42.907381,-106.461609,Casper,United States
CPS,St Louis Downtown Airport,38.570701599100005,-90.15619659,Cahokia/St Louis,United States
HCW,Cheraw Municipal Airport/Lynch Bellinger Field,34.712898,-79.957001,Cheraw,United States
KCR,Colorado Creek Airport,63.56769943,-155.9889984,Colorado Creek,United States
CRE,Grand Strand Airport,33.81169891,-78.72389984,North Myrtle Beach,United States
CRG,Jacksonville Executive at Craig Airport,30.3362999,-81.51439667,Jacksonville,United States
CRP,Corpus Christi International Airport,27.770399,-97.501198,Corpus Christi,United States
CLD,McClellan-Palomar Airport,33.1283,-117.279999,Carlsbad,United States
CRS,C David Campbell Field Corsicana Municipal Airport,32.02809906,-96.40059662,Corsicana,United States
CRT,Z M Jack Stell Field,33.17829895,-91.88020325,Crossett,United States
CRW,Yeager Airport,38.3731,-81.593201,Charleston,United States
CRX,Roscoe Turner Airport,34.91500092,-88.60350037,Corinth,United States
CSG,Columbus Airport,32.516415,-84.939602,Columbus,United States
CSM,Clinton Sherman Airport,35.33980179,-99.20050049,Clinton,United States
CSQ,Creston Municipal Airport,41.021400451699996,-94.36329651,Creston,United States
CSV,Crossville Memorial Airport Whitson Field,35.95131,-85.08499,Crossville,United States
